,age,anaemia,creatinine_phosphokinase,diabetes,ejection_fraction,high_blood_pressure,platelets,serum_creatinine,serum_sodium,sex,smoking,time,DEATH_EVENT
age,1.0,0.08800644131939148,-0.08158389977909213,-0.1010123851819697,0.06009836323291281,0.09328868460631873,-0.05235436663012695,0.1591871332835501,-0.04596584083956004,0.06542952364475423,0.018667867990770335,-0.22406841997203508,0.25372854308800313
anaemia,0.08800644131939148,1.0,-0.19074103020066285,-0.01272904580946353,0.031556970758154175,0.03818200273242692,-0.043785549732405685,0.052173603646938106,0.041881610297862144,-0.09476896093315018,-0.10728983823716644,-0.14141398227246524,0.06627009846028772
creatinine_phosphokinase,-0.08158389977909213,-0.19074103020066285,1.0,-0.009638513675167997,-0.04407955445671148,-0.07058997996325157,0.02446338851957411,-0.01640847954621736,0.059550155833725665,0.0797906287329034,0.0024212351965236757,-0.009345653142982155,0.0627281602523747
diabetes,-0.1010123851819697,-0.01272904580946353,-0.009638513675167997,1.0,-0.004850309667581041,-0.012732381675485904,0.09219282828243909,-0.046975315379213255,-0.0895506193058873,-0.15772950433810984,-0.14717341332341397,0.03372550900034778,-0.0019428833442034531
ejection_fraction,0.06009836323291281,0.031556970758154175,-0.04407955445671148,-0.004850309667581041,1.0,0.024444731376274835,0.07217746574435,-0.011302474995417361,0.17590228200796246,-0.14838596532635934,-0.06731456733133794,0.04172923548352986,-0.26860331239406154
high_blood_pressure,0.09328868460631873,0.03818200273242692,-0.07058997996325157,-0.012732381675485904,0.024444731376274835,1.0,0.04996348119795089,-0.004934525113990884,0.03710946973218382,-0.10461462935689679,-0.055711368777562616,-0.19643947893126223,0.0793510576912853
platelets,-0.05235436663012695,-0.043785549732405685,0.02446338851957411,0.09219282828243909,0.07217746574435,0.04996348119795089,1.0,-0.04119807711256386,0.062124619238407085,-0.1251204828091826,0.028234447714347674,0.010513908990174873,-0.04913886798037422
serum_creatinine,0.1591871332835501,0.052173603646938106,-0.01640847954621736,-0.046975315379213255,-0.011302474995417361,-0.004934525113990884,-0.04119807711256386,1.0,-0.18909521009117422,0.00696977848315107,-0.02741413544706912,-0.1493154175679286,0.2942775609841497
serum_sodium,-0.04596584083956004,0.041881610297862144,0.059550155833725665,-0.0895506193058873,0.17590228200796246,0.03710946973218382,0.062124619238407085,-0.18909521009117422,1.0,-0.027566122728236234,0.004813194662557534,0.08764000017336651,-0.19520359641640145
sex,0.06542952364475423,-0.09476896093315018,0.0797906287329034,-0.15772950433810984,-0.14838596532635934,-0.10461462935689679,-0.1251204828091826,0.00696977848315107,-0.027566122728236234,1.0,0.44589171190978893,-0.015608220381409181,-0.0043163763197030325
smoking,0.018667867990770335,-0.10728983823716644,0.0024212351965236757,-0.14717341332341397,-0.06731456733133794,-0.055711368777562616,0.028234447714347674,-0.02741413544706912,0.004813194662557534,0.44589171190978893,1.0,-0.022838942447847004,-0.012623152709359499
time,-0.22406841997203508,-0.14141398227246524,-0.009345653142982155,0.03372550900034778,0.04172923548352986,-0.19643947893126223,0.010513908990174873,-0.1493154175679286,0.08764000017336651,-0.015608220381409181,-0.022838942447847004,1.0,-0.5269637792775768
DEATH_EVENT,0.25372854308800313,0.06627009846028772,0.0627281602523747,-0.0019428833442034531,-0.26860331239406154,0.0793510576912853,-0.04913886798037422,0.2942775609841497,-0.19520359641640145,-0.0043163763197030325,-0.012623152709359499,-0.5269637792775768,1.0
